,,Gov Id,T1 Diff,T2 Diff,T3 Diff,T4 Diff,T5 Diff,Deads,Formula
118,El3ctricity,7568329,36414,5227,12331,1712382,2154003,640670,9864408
376,SinnerPridE,53720198,69485,2439,4879,2998246,2717309,236550,9852164
149,Azalynz DG AF,21463108,215970,33472,27783,2431407,1830939,625808,9848133
360,S i m o   CG,17625084,100264,24118,1980,1769845,2312952,575288,9847477
88,Cooper  X,64394420,21630,469,691,1855804,2225422,581729,9797022
223,Lazy lady bep,55784967,136015,144706,27414,943252,1757805,885291,9770608
102,Dave D,37726163,0,0,0,509903,856058,1258098,9770607
364,SMOKYR,69366835,69263,85347,72666,2415495,2443358,410735,9766621
500,n y a,41925878,108991,13729,9557,2136471,2049892,587283,9759953
433,TheDarkFuryᶰf,71824582,10100,0,120,3345128,2691677,170020,9748602
311,jmcdo4,67133364,129572,32757,56366,1763865,1195710,927554,9720609
35,Bajietong OG,14020401,151911,51134,4455,1878175,1719759,713311,9597559
133,Fiona SMASH,42467519,79102,19350,63585,3227253,1847441,441593,9571693
66,CAP 117,22505871,73408,10910,3472,1399097,2466474,536364,9550229
92,C㋛㋛per,67174967,114892,70594,10398,1835579,1981152,624670,9545903
431,Test Knight,52618268,75398,412,4531,4037863,1853397,296165,9521647
288,OSkadon OG,63921213,22159,19421,2635,1571708,2774905,387408,9445966
486,goeland27,55565597,37373,3016,11123,2496864,1149765,743768,9259002
381,ᴹᴶPanda IND,69765624,78033,2519,24622,1896723,983800,891323,9212261
53,BlēsT,96257100,50146,1737,83,2427947,1696667,558080,9169761
115,Dᵘcᵏ Marley,21464078,25545,17644,10267,1189119,1782846,730063,9135189
120,Erwinlim,67980415,3694,49360,7349,1274912,3064851,284328,9110582
591,暗 pequod,15186568,23158,9873,15,1603173,2034804,570800,9097581
26,Atreus591,70857667,160936,8251,34764,2179362,2927466,166057,9030636
181,IamGilbo,20462120,185912,33472,24326,2199710,2738479,220563,9000046
77,Capn Toph,62853017,157575,35335,35282,2021901,1722457,583699,8969009
351,Ring shoes care,45764094,1228,1776,4289,1670575,2281912,453878,8957667
221,Lazy Luffy,61950882,187782,24414,14617,1987268,1955670,509320,8954528
446,VEGASS X,23025917,18712,457,248,1789246,2443217,367414,8880164
350,Rin OG,60134257,84537,138086,99604,1786561,2086201,485572,8872395
50,Blue 义 Balls,50653451,140704,266335,212919,2224048,1591122,561971,8778118
418,Sol InvictuS,67145172,95682,21556,50658,2409658,1428240,574878,8715406
160,HAYzOM,29587991,13112,20561,183,1854406,2463550,316010,8677566
319,カEitschiカ,42028782,2787,2666,743,636353,1736296,756964,8650729
87,Cimeng OG,81263107,85711,25953,19588,1007661,887362,970855,8607515
492,lunav,32601257,24522,20818,2088,1331690,1973338,548754,8570890
517,zaidoun,64085623,15690,3426,79869,1715908,2095060,439029,8540202
110,Driscie,83619899,81949,72248,50059,2842975,1588028,412439,8493665
82,Chinese299,51061315,68251,22791,2334,2867260,1347314,487194,8485052
457,Wings of Lib,56316995,30945,4858,7573,1830010,2092263,407258,8458084
184,Irenerene,20533430,13601,4800,5970,1941172,2354180,283110,8348192
272,Mschief Manage,76180743,126425,11400,125218,1067223,1080943,847811,8315975
270,Mr Kaoz,55851284,29455,2539,13151,2393913,2156605,264969,8296937
171,Hopesyy,27737243,0,110,1,1994830,2667067,159640,8286804
595,火Ҝaramag火,75397619,31667,224,705,1890439,2870240,69479,8047793
165,Hhh2,63871718,8200,32726,8,410281,617055,1066878,8045659
580,ᴷᴳ김사나ᶤᶺ,83068025,127285,73933,15382,2053969,1741089,416976,8038003
194,Jessy Jr,17256004,46633,19492,5672,1451536,1948441,437537,7973640
425,Syaorân Li,25531562,36820,3982,0,1313253,2087307,402266,7901463
75,IrenêAdler,67195299,1,3,8483,360195,517896,1083172,7895019
477,artemɪsɪa,25534380,46847,10226,11415,2131021,1844270,330188,7800689
374,Sheldecksss,96209643,367365,426975,574939,2736748,1094689,468708,7738374
210,Konstantinos Ma,63179189,26201,4185,12435,769453,1063367,806873,7737425
441,Twiceborn two,26291665,74406,3204,2360,1795540,1433644,509237,7718250
255,Mashmattatoe,33910779,1005,1335,0,1729804,2285556,232016,7693012
273,Murdøc,97560095,35998,26890,686,2033356,2604410,73849,7685270
307,Pat kingllll,62720594,198311,26952,68047,1471227,1278279,608341,7677831
453,Warlord Ragnär,63751320,51887,51527,172340,1509372,1685772,463216,7660212
212,Kyłe,83956095,3649,18319,535,1879002,1473364,472082,7658222
74,Callysta34,62687626,2683,40,0,790736,1295915,696064,7558950
390,Jorgańdr,72969016,38095,9658,6877,1915375,1347899,471074,7437617
107,Dod OG,69851361,263933,2706,14,1262332,2000112,362444,7437220
22,AngelOfImpurity,63858590,51398,8065,18564,1137913,1565516,526269,7426559
198,J E L i B E A N,12358600,1425,8127,1014,1572746,2118046,268159,7417792
330,Queen Risk人,76869735,12833,4533,7168,2072448,1564864,362833,7379174
76,Candyrain,48281776,58967,55437,15693,1945376,1883607,276241,7370036
