,Unnamed: 0,Unnamed: 0.1,Date,Name,ASCII Name,Governor ID,Alliance,Power,Total Kills,Kill Points,T1 Kills,T2 Kills,T3 Kills,T4 Kills,T5 Kills,RSS Assistance,Alliance Helps,Dead Troops,KP By Kills
1306,1306,3949,2021-12-09,乂WarRioR乂,乂WarRioR乂,39750664,Rt38,26585680.0,1084461,7126317,42179,188869,308256,539614,5543,889038026,4770,185384,7126197.0
1336,1336,3940,2021-12-09,㋛Marreta Preta㋛,㋛Marreta Preta㋛,40299040,RP38,67906693.0,9014922,941908036,597933,32408,551481,7833099,1,8957547395,72240,5285540,80721336.0
1415,1415,5559,2021-12-29,King Røar,King Roar,42659448,#N/A,32552804.0,625496,39244891,380167,289,3785,241176,79,0,22215,1089218,2505091.0
1458,1458,5574,2021-12-29,LORDOFDRAGONS,LORDOFDRAGONS,43893200,OGFa,39017465.0,966300,22995383,63618,1760,53545,847298,79,1886862692,10363,2143407,8704983.0
1603,1603,4951,2021-12-14,Suga 旬,Suga 旬,49911535,RR38,77434891.0,8479806,955666424,6682,166934,52830,8250420,2940,1005341496,66380,4994465,83109524.0
1608,1608,3995,2021-12-09,황신원 of Roseee,황신원 of Roseee,49964501,RO3E,39704618.0,8071826,76441293,618749,929621,5917830,605626,0,4061127743,12407,2835580,31710571.0
1626,1626,4314,2021-12-14,Bigboybobo,Bigboybobo,50653451,RA38,81542384.0,4196481,956511984,238922,255699,773243,2927427,1190,5155512510,13215,3574228,32950224.0
1708,1708,4990,2021-12-14,VARTOLÒ,VARTOLO,52375803,RR38,58683139.0,9880738,570903681,51338,627561,27333,9174506,0,3197125196,64412,4643546,93119781.0
1714,1714,4276,2021-12-14,AssAssin A,AssAssin A,52419470,RA38,69770035.0,32872777,681206952,561882,813353,834015,8050537,22612990,3938632055,62327,5650937,537840312.0
1726,1726,4381,2021-12-14,DARK EVIL 亗,DARK EVIL 亗,52515492,RK38,61787153.0,4227840,732378530,1573523,365507,772793,1515890,127,7527631739,61376,4318900,19298330.0
1736,1736,2605,2021-12-02,Sir Rockzo,Sir Rockzo,52619890,RA38,85299113.0,48788913,2513358312,2303262,3034252,599959,42851440,0,4412263706,129512,7399347,437443392.0
1869,1869,4724,2021-12-14,Pand4Zinc 永,Pand4Zinc 永,54530345,RA38,66597606.0,12148587,1649734455,5194037,405203,840213,5707055,2079,2264212781,59456,3491048,62322195.0
1944,1944,2388,2021-12-02,MBDB,MBDB,55587705,RX38,32313611.0,0,81358046,0,0,0,0,0,539319699,31048,3515122,0.0
2015,2015,2264,2021-12-02,HunterDemons,HunterDemons,56345194,RR38,67826676.0,19710967,1234793301,7435295,5183548,91359,6999773,992,4990046123,64220,6476972,82237161.0
2053,2053,6229,2021-12-29,齐天大圣17,齐天大圣17,57069821,RM38,46407274.0,510027,35703302,25801,11417,79807,392912,90,7053770323,16326,1839335,4278142.0
2153,2153,2263,2021-12-02,HotShotTiger,HotShotTiger,58442808,RR38,82133219.0,7979264,1491498403,1216989,175172,334653,6252445,5,5551884670,90435,5636251,64456903.0
2220,2220,4365,2021-12-14,Chrollо,Chrollо,58996561,RR38,87692166.0,4614401,1101599127,349089,385050,600695,3279567,0,0,0,0,36038367.0
2260,2260,4556,2021-12-14,Kingsummer OG,Kingsummer OG,59331015,RR38,75405022.0,10174982,345184297,744188,8435070,523160,59860,412704,2353776463,17336,3797384,27964297.0
2312,2312,4811,2021-12-14,Rin OG,Rin OG,60134257,RK38,52310465.0,6445021,357667626,622003,256388,223380,5342955,295,3842971384,83437,3691616,54966146.0
2360,2360,4886,2021-12-14,Slayer X Jixco,Slayer X Jixco,60304697,RX38,33926724.0,0,16880703,0,0,0,0,0,603906906,33140,1662881,0.0
2486,2486,4577,2021-12-14,Lazy Luffy,Lazy Luffy,61950882,RA38,67354281.0,5060811,749693337,930026,75511,422855,3632419,0,0,48552,7766060,38352637.0
2650,2650,6126,2021-12-29,مصعب المهاجر,مصعب المهاجر,62770125,RP38,38425634.0,1083344,59807860,84324,66523,328040,604457,0,851213543,14646,1959216,7506640.0
2667,2667,4594,2021-12-14,Lego Batman,Lego Batman,62935309,RP38,70842249.0,5080695,435654909,619745,25478,549346,3886126,0,2027582938,88889,4338210,41233549.0
2873,2873,5097,2021-12-14,toops405,toops405,63733625,RK38,55140463.0,2432719,95135698,782954,712006,1309,936430,20,687208413,42382,2231446,10950538.0
2891,2891,5003,2021-12-14,Warlord Ragnär,Warlord Ragnar,63751320,RK38,52557133.0,5160293,403823658,91591,6283,114476,4947717,226,2126155028,53322,4166298,49970478.0
2945,2945,4246,2021-12-14,ABØ AŁ HASSAN,ABO AL HASSAN,63896422,RA38,50915630.0,9268954,241488821,469829,238642,873183,7458128,229172,1987893543,34411,4329380,83228701.0
2973,2973,2809,2021-12-02,mantovinii,mantovinii,63932677,RA38,77087068.0,8433625,730157394,630894,276920,882339,6643402,70,601197557,98139,7398799,70644794.0
3454,3454,5131,2021-12-14,ᴰᴳ TheWall,Dᴳ TheWall,683664,RR38,76915336.0,6890972,1534834626,140670,96194,390241,6260948,2919,18998809988,99257,9855276,64449346.0
3489,3489,4482,2021-12-14,Harald OG,Harald OG,68635481,RP38,32912755.0,753464,127678266,385721,128121,150775,88638,209,73511103,21885,3177156,1827046.0
3506,3506,3307,2021-12-09,Kayy00,Kayy00,68734401,Rw38,28088011.0,0,10887329,0,0,0,0,0,46803528,4338,138690,0.0
3536,3536,3837,2021-12-09,saw FarhoD,saw FarhoD,69100400,F38S,25984374.0,0,51355672,0,0,0,0,0,2303844268,23079,1370159,0.0
3543,3543,4911,2021-12-14,Slayer x badboy,Slayer x badboy,69199791,RX38,48165747.0,1495605,39365347,542567,54458,54087,844493,0,731859274,34383,206761,8878707.0
3567,3567,4605,2021-12-14,Louie13,Louie13,69545360,RP38,80119343.0,1999587,164414368,39102,48004,219075,1693406,0,1786811554,25514,905491,17914188.0
