Date,Name,ASCII Name,Governor ID,Alliance,Power,Total Kills,Kill Points,T1 Kills,T2 Kills,T3 Kills,T4 Kills,T5 Kills,RSS Assistance,Alliance Helps,Dead Troops
2021-11-22,暗 SeroS 戰,暗 SeroS 戰,20843787,RP38,"90,273,754","106,965,590","1,140,731,987","15,607,426","716,710","2,399,203","63,826,475","24,415,776","6,217,279,701",82625,"7,044,786"
2021-11-22,暗 Sham 叁肆,暗 Sham 叁肆,16921563,RR38,"63,294,682","75,843,245","832,850,852","10,654,710","1,093,538","3,886,561","39,118,213","21,090,223","7,901,108,442",56886,"6,315,258"
2021-11-22,暗 Toxic Arrow,暗 Toxic Arrow,17413785,RA38,"81,805,009","169,520,529","2,196,563,444","3,681,481","1,229,533","3,709,853","103,946,457","56,953,205","3,755,654,056",51534,"15,596,740"
2021-11-22,暗 Winter,暗 Winter,16908012,RA38,"101,142,555","214,525,870","1,446,682,329","108,468,025","556,078","541,932","67,748,786","37,211,049","5,320,303,579",80631,"14,645,126"
2021-11-22,暗 pequod,暗 pequod,15186568,RP38,"76,465,502","53,179,488","662,407,310","1,272,523","599,917","1,280,078","34,470,674","15,556,296","2,583,988,040",76504,"7,292,244"
2021-11-22,暗丶BRAYAN亗,暗丶BRAYAN亗,33738318,RR38,"73,488,944","100,397,352","1,207,550,910","4,769,770","3,279,614","3,903,052","58,447,280","29,997,636","5,170,434,657",53520,"6,240,946"
2021-11-22,火 Z E Y Z,火 Z E Y Z,71841266,RR38,"33,752,019","12,936,041","102,543,008","1,482,680","1,425,107","2,227,352","6,553,119","1,247,783","903,406,572",24273,"1,739,158"
2021-11-22,火SmileDance,火SmileDance,75398017,RK38,"45,187,762","14,552,545","141,230,238","3,682,612","614,469","800,552","5,303,567","4,151,345","819,922,969",28349,"2,162,443"
2021-11-22,火Ҝaramag火,火Ҝaramag火,75397619,RR38,"45,162,857","47,917,774","424,334,122","8,963,881","2,203,153","4,060,040","25,191,912","7,498,788","2,816,636,826",32377,"3,094,854"
2021-11-22,父 Crystal 父,父 Crystal 父,28618527,RK38,"78,434,717","97,008,277","1,315,054,820","4,397,994","209,584","541,746","52,558,999","39,299,954","4,437,129,360",125969,"4,958,919"
2021-11-22,真心 ąđy,真心 ady,25182362,RP38,"54,930,577","93,620,116","767,714,933","19,679,185","6,834,084","7,536,217","47,144,654","12,425,976","10,069,741,441",76984,"9,778,070"
2021-11-22,綾野居士,綾野居士,84578178,RX38,"26,975,974","7,262,052","34,082,782","715,184","2,891,575","1,589,694","1,951,416","114,183","370,185,422",12871,"1,268,930"
2021-11-22,自由ㅅ 小怪,自由ㅅ 小怪,62458819,,"24,660,511","221,761","996,005","7,308","108,619","58,359","40,563","6,912","1,784,581,346",5497,"183,650"
2021-11-22,自由ㅅ 自在,自由ㅅ 自在,59967543,Ri38,"42,999,146","6,777,441","34,139,356","479,121","1,761,780","2,713,373","1,679,686","143,481","2,665,524,331",39595,"356,726"
2021-11-22,裁决Blade,裁决Blade,95678399,RP38,"33,576,757","29,137,282","274,101,500","2,327,943","651,412","1,549,172","22,603,870","2,004,885","383,765,020",28941,"615,971"
2021-11-22,連Lin15,連Lin15,33752045,RA38,"55,759,428","75,773,689","642,940,816","26,880,281","1,579,372","1,672,909","28,510,816","17,130,311","9,210,813,540",73934,"6,289,224"
2021-11-22,雨Kuma雨,雨Kuma雨,20446496,RK38,"69,666,322","72,555,256","878,058,963","3,070,376","1,797,775","2,326,467","44,266,929","21,093,709","1,776,161,095",92944,"7,910,138"
2021-11-22,驃騎Amethy,驃騎Amethy,96291019,RR38,"30,406,092","29,986,052","167,388,317","6,300,227","4,500,364","6,433,946","12,363,854","387,661","170,888,760",26803,"563,339"
2021-11-22,齐天大圣17,齐天大圣17,57069821,Vdcm,"43,795,755","3,039,285","35,703,302","225,801","211,417","179,807","1,392,912","1,029,348","7,053,770,323",16083,"1,839,335"
2021-11-22,모조 Mojo M,모조 Mojo M,63082694,,"38,387,880","11,125,425","75,453,399","2,859,889","1,646,770","837,153","4,739,299","1,042,314","11,052,429,574",27000,"2,258,841"
2021-11-22,주님・PʀøHacJd,주님PʀoHacJd,12645110,RP38,"61,784,912","105,549,040","1,320,522,831","1,019,458","318,725","526,160","75,611,709","28,072,988","11,883,374,486",67999,"10,609,374"
2021-11-22,황신원 of Rose,황신원 of Rose,49964501,RO3E,"37,593,570","9,044,282","76,441,293","972,456","618,749","929,621","5,917,830","605,626","1,106,127,743",12371,"2,835,580"
2021-11-22,Ｓｌoｔｈ,Ｓｌoｔｈ,10621502,RR38,"72,917,766","75,978,751","859,688,449","1,614,226","1,686,923","4,679,467","52,268,881","15,729,254","4,674,097,550",77716,"6,796,450"
2022-01-01,19Alim93 Dealer,19Alim93 Dealer,62399898,RR38,"80,435,251","66,026,347","731,990,301","2,765,778","2,727,698","1,497,775","46,071,127","12,963,969","1,070,995,838",98933,"4,307,222"
2022-01-01,1LimitBreakr,1LimitBreakr,28759255,RK38,"69,520,233","92,646,004","1,119,503,888","9,216,134","969,641","4,132,285","46,736,664","31,591,280","1,044,147,076",60777,"7,102,221"
2022-01-01,1P FOX,1P FOX,52435883,RP38,"51,102,230","25,931,667","242,491,321","5,752,578","1,634,815","928,254","11,796,224","5,819,796","853,259,425",41085,"5,819,900"
2022-01-01,338 Win kvk,338 Win kvk,66337757,RP38,"37,338,037","7,142,086","80,848,070","389,633","510,627","175,240","4,228,379","1,838,207","1,305,770,537",45539,"2,140,641"
2022-01-01,4Zinc 永,4Zinc 永,54530345,RR38,"62,977,135","156,504,362","1,753,893,728","15,269,762","1,414,786","1,843,781","101,888,558","36,087,475","2,264,212,781",60166,"4,150,700"
2022-01-01,511 pirate,511 pirate,84483508,Rt38,"25,743,388","4,430,228","43,394,658","393,412","480,623","288,300","2,415,633","852,260","545,157,553",10287,"1,335,590"
2022-01-01,A i n gˢᶠ,A i n gsᶠ,76585321,RK38,"34,076,336","2,800,570","20,455,587","270,737","865,870","343,530","911,308","409,125","388,583,723",35277,"473,407"
2022-01-01,A7X fold,A7X fold,63900101,RA38,"44,845,111","8,265,908","91,014,010","92,404","298,718","443,906","5,999,513","1,431,367","2,025,060,388",46824,"1,245,500"
2022-01-01,ABØ AŁ HASSAN,ABO AL HASSAN,63896422,RA38,"49,234,426","26,997,981","274,723,686","1,470,134","1,239,224","1,873,183","18,385,032","4,030,408","2,212,893,543",35669,"4,586,765"
2022-01-01,ALMIGHTY BLACK,ALMIGHTY BLACK,39756277,RP38,"136,533,457","155,554,635","1,720,817,641","7,596,389","23,665,767","15,407,125","56,736,875","52,148,479","1,912,049,387",63302,"5,651,384"
2022-01-01,AMNA CASB,AMNA CASB,51213820,RP38,"38,899,803","5,173,953","60,777,668","283,924","192,533","142,292","3,133,743","1,421,461","1,219,611,067",15651,"1,677,281"
2022-01-01,ARISA OG,ARISA OG,8918322,RR38,"74,410,897","152,275,582","1,331,266,266","45,212,554","619,612","1,990,848","77,603,022","26,849,546","8,401,245,146",58160,"8,416,594"
2022-01-01,ASAP Flacko,ASAP Flacko,30895403,LF38,"26,184,384","382,880","3,533,514",780,"66,973","1,138","288,492","25,497","8,969,949,970",1954,"201,678"
2022-01-01,ASTARTEA I,ASTARTEA I,31137582,RE38,"25,714,363","53,626","675,081",8,0,0,"39,738","13,885","4,453,622,195",5503,"260,009"
2022-01-01,AbbyRigg Hèró,AbbyRigg Hero,1616635,RP38,"82,495,521","111,252,154","952,233,749","42,349,449","286,320","337,655","42,373,400","25,905,330","5,249,844,836",55573,"7,536,278"
2022-01-01,Adley H,Adley H,84623577,RP38,"35,744,603","18,696,246","174,914,487","1,392,377","3,044,857","1,578,037","9,138,535","3,542,440","2,948,380,780",28439,"1,643,735"
2022-01-01,AdolfфStalin,AdolfфStalin,61109803,RP38,"40,182,825","2,793,570","26,702,024","258,543","533,217","48,458","1,367,699","585,653","468,263,199",29565,"3,672,878"
2022-01-01,AfroditA I,AfroditA I,20605198,,"32,031,095","884,584","9,469,865","36,977",153,546,"747,818","99,090","1,858,115,279",11402,"1,430,505"
2022-01-01,AgentCarterRN,AgentCarterRN,78939625,Rw38,"27,655,871","1,687,645","13,809,882","32,621","255,849","432,390","777,360","189,425","1,466,325,995",11753,"1,194,963"
2022-01-01,AhBengKoh,AhBengKoh,60303728,RM38,"28,009,884","997,585","12,332,085","1,808",260,191,"757,608","237,718","1,947,809,869",24239,"713,983"
2022-01-01,Ahmad 81,Ahmad 81,53474171,RA38,"64,772,084","66,687,967","494,343,350","27,758,523","718,543","864,360","26,303,370","11,043,171","1,476,144,358",93857,"5,656,304"
2022-01-01,Ahok OG,Ahok OG,56911574,RK38,"35,064,899","11,682,615","106,979,499","2,238,529","286,111","377,133","7,116,580","1,664,262","591,665,464",28660,"2,881,017"
2022-01-01,Akenkeren2,Akenkeren2,86238869,]t38,"25,972,446","422,016","3,575,486",0,"47,858","43,635","330,523",0,"1,079,753,789",2044,"282,083"
2022-01-01,AlbabtooˣSalyr,AlbabtooˣSalyr,83321029,RX38,"33,921,711","5,816,424","35,071,235","1,411,348","1,124,600","571,844","2,392,025","316,607","40,538,428",29676,"212,153"
2022-01-01,Alex18Croatia,Alex18Croatia,21090207,RA38,"70,109,778","139,065,239","1,273,731,079","30,412,855","3,093,971","4,553,534","77,685,115","23,319,764","5,779,545,796",104761,"9,201,173"
2022-01-01,Ali Gátor,Ali Gator,86002978,RX38,"39,101,350","16,693,011","100,742,284","5,579,923","2,557,641","992,637","6,071,573","1,491,237","690,041,816",51094,"1,228,266"
2022-01-01,Alischer,Alischer,6488711,RA38,"70,703,391","257,749,200","2,600,461,449","42,576,079","1,980,477","3,311,885","162,287,744","47,593,015","10,816,283,578",140711,"17,818,622"
2022-01-01,Alotta Fagina,Alotta Fagina,16891821,,"71,305,225","47,425,209","597,708,514","629,852","120,710","485,386","32,838,564","13,350,697","14,458,674,792",104633,"5,362,569"
2022-01-01,AlphaOmegA,AlphaOmegA,11915882,,"58,126,875","41,808,887","425,151,210","7,837,843","2,200,425","705,983","20,493,386","10,571,250","2,143,618,424",26730,"9,782,815"
2022-01-01,Alungga,Alungga,23896432,RR38,"60,821,446","182,577,820","2,365,701,352","11,246,601","4,371,133","3,084,104","93,514,629","70,361,353","8,833,562,895",36943,"10,631,343"
2022-01-01,Amaiaz,Amaiaz,25866777,Hp38,"40,069,980","497,874","6,124,281","3,045","1,146",640,"374,204","118,839","8,346,262,076",9124,"769,830"
2022-01-01,AmeAmeAmeAmeAme,AmeAmeAmeAmeAme,97127787,RR38,"34,212,198","12,912,809","126,859,926","1,918,514","262,755","951,926","7,344,927","2,434,687","175,105,646",47605,"966,605"
2022-01-01,Amen0sa,Amen0sa,38132570,RR38,"75,199,683","148,417,357","1,902,087,685","3,360,417","5,904,168","4,040,099","82,880,659","52,232,014","2,217,664,876",73377,"9,345,276"
2022-01-01,Anbu Charlotte,Anbu Charlotte,95679756,RM38,"31,746,530","7,490,928","51,946,339","2,178,516","333,219","802,402","3,590,123","586,668","591,100,916",28476,"522,828"
2022-01-01,AndrewB2000,AndrewB2000,7681587,RR38,"88,034,270","180,789,864","1,874,382,059","21,042,407","5,496,196","11,597,739","104,028,021","38,625,501","20,654,549,277",120222,"10,640,918"
2022-01-01,AndrewB2017,AndrewB2017,4209884,RM38,"32,192,897","1,810,793","26,281,109","21,038","10,978","56,054","842,373","880,350","8,105,383,859",13500,"1,811,319"
2022-01-01,AngelOfImpurity,AngelOfImpurity,63858590,RM38,"50,117,361","23,469,075","273,672,212","1,234,843","1,042,525","742,846","14,060,841","6,388,020","1,829,862,552",52123,"3,410,034"
2022-01-01,Antź,Antz,84472406,RX38,"31,235,936","16,672,277","114,201,445","4,546,807","1,456,082","787,570","9,040,672","841,146","624,737,991",22490,"1,055,009"
2022-01-01,Apocó,Apoco,18881145,Ri38,"44,812,888","6,527,851","83,499,592","217,471","64,556","265,529","3,734,103","2,246,192","6,150,045,610",8578,"6,099,013"
2022-01-01,Aquilasia,Aquilasia,62763532,Rt38,"42,901,883","7,003,908","41,556,490","1,051,044","1,808,011","1,168,600","2,646,920","329,333","1,357,008,082",28362,"765,196"
2022-01-01,Arif Rh01,Arif Rh01,61924943,RP38,"29,559,720","15,936,990","70,724,411","10,468,158","232,635","217,650","3,307,603","1,710,944","397,497,574",16241,"3,874,971"
2022-01-01,AssAssin A,AssAssin A,52419470,RR38,"63,194,650","73,391,990","855,107,657","3,655,505","1,816,457","4,852,178","43,002,207","20,065,643","4,068,632,059",67814,"6,764,093"
2022-01-01,Atreus591,Atreus591,70857667,RA38,"75,239,562","33,101,067","447,528,303","541,158","121,850","1,162,998","18,297,684","12,977,377","2,341,343,997",36173,"3,171,470"
2022-01-01,AtticusWiggleBs,AtticusWiggleBs,80187532,,"42,399,548","5,375,394","63,049,055","265,386","107,408","255,008","3,319,071","1,428,521","453,669,706",37877,"717,935"
2022-01-01,Atyaf H,Atyaf H,85461302,Ri38,"33,932,299","3,706,227","32,142,280","404,671","469,695","102,119","2,388,136","341,606","229,985,118",20878,"700,894"
2022-01-01,August ᴰᴷ,August DK,69972191,RP38,"34,051,707","11,926,229","120,341,339","723,199","520,211","561,477","8,551,647","1,569,695","696,963,559",35491,"2,701,792"
2022-01-01,Aɢɴɪ,Aɢɴɪ,96119113,RP38,"33,509,369","10,340,918","74,438,311","2,954,379","887,140","820,854","4,478,116","1,200,429","144,613,377",28684,"445,096"
2022-01-01,A죽음,A죽음,66226973,Rw38,"37,481,801","11,670,383","80,130,547","2,872,018","951,827","1,008,095","6,314,875","523,568","367,700,572",15986,"2,639,431"
2022-01-01,BANTENG BLAGU,BANTENG BLAGU,70669896,F38b,"26,244,722","1,623,364","6,974,464","378,443","557,290","213,959","454,508","19,164","1,526,503,538",8628,"991,040"
