,Unnamed: 0,Unnamed: 0.1,Date,Name,ASCII Name,Governor ID,Alliance,Power,Total Kills,Kill Points,T1 Kills,T2 Kills,T3 Kills,T4 Kills,T5 Kills,RSS Assistance,Alliance Helps,Dead Troops,KP By Kills,Kill Points_diff,T1 Kills_diff,T2 Kills_diff,T3 Kills_diff,T4 Kills_diff,T5 Kills_diff,RSS Assistance_diff,Dead Troops_diff
1097,1097,5115,2021-12-14,ĴØЌÉŔR,JOЌERR,35538798,RR38,65233794.0,1786171,871225056,0,146103,166002,1474057,9,3112881110,90308,7210425,15696964.0,22806560.0,-8729063.0,-2000000.0,-1000000.0,-39320588.0,-21488492.0,0.0,0.0
1115,1115,5180,2021-12-14,乂 HAXOR 乂,乂 HAXOR 乂,36397118,RR38,61111807.0,3493429,757034966,853751,769360,749484,1120718,116,13770293726,110024,6054204,15916906.0,70934780.0,-4000000.0,-1000000.0,-4000000.0,-36869416.0,-14134456.0,0.0,45903.0
1120,1120,3933,2021-12-09,ナハト ファウスト,ナハト ファウスト,36594863,Rw38,30238752.0,454168,4678476,11452,3,0,417808,24905,0,0,0,4678476.0,0.0,0.0,0.0,0.0,0.0,0.0,-4660335153.0,-1496597.0
1139,1139,5046,2021-12-14,diR,diR,37239310,RR38,80066605.0,19791937,1864830306,2597081,661443,459346,6553058,9521009,6691364958,61621,7067332,259630446.0,174098312.0,-10000000.0,-6996404.0,-7000000.0,-85804136.0,-26453369.0,0.0,19038.0
1159,1159,4492,2021-12-14,Holdimonster,Holdimonster,3747243,RP38,108102054.0,116742837,1408446713,2758048,4171186,6380053,69463848,33969702,0,69205,16850448,1408446713.0,23580266.0,26581.0,0.0,0.0,481707.0,937894.0,-13697457916.0,94086.0
1241,1241,5163,2021-12-14,サイタマ one punch,サイタマ one punch,38997259,RP38,40351649.0,15769020,161983609,2033968,1829148,574565,7100652,4230687,0,23891,4645918,161983609.0,7903120.0,0.0,0.0,0.0,221670.0,284321.0,-5481032438.0,826.0
1284,1284,5434,2021-12-29,FHK HellAngel,FHK HellAngel,39637709,RR38,67913614.0,59056670,614832607,6626729,2476074,2635471,34835469,12482927,0,0,0,614832607.0,79947922.0,66751.0,1098.0,3364.0,2680762.0,2655565.0,-6627926445.0,-3871024.0
1288,1288,3199,2021-12-09,Fallin0001,Fallin0001,39666473,F38N,38138776.0,6393418,63108013,520505,1020251,396725,2974223,1481714,0,15009,4779960,63108013.0,0.0,0.0,0.0,0.0,0.0,0.0,-8109477332.0,0.0
1311,1311,3505,2021-12-09,Pirate Nebu II,Pirate Nebu II,39751049,Rt38,35121421.0,9608685,76080407,1069769,1512410,1242071,4781535,1002900,0,0,0,76080407.0,0.0,0.0,0.0,0.0,0.0,0.0,-1993929494.0,-4113773.0
1336,1336,3940,2021-12-09,㋛Marreta Preta㋛,㋛Marreta Preta㋛,40299040,RP38,67906693.0,9014922,941908036,597933,32408,551481,7833099,1,8957547395,72240,5285540,80721336.0,0.0,-6000000.0,-5000000.0,-5000000.0,-60000000.0,-11499335.0,0.0,0.0
1349,1349,4581,2021-12-14,Lazzys beefstew,Lazzys beefstew,40419140,F38n,45088000.0,24068367,174009027,3655727,4706569,1972581,11869538,1863952,0,24742,3961461,174009027.0,0.0,0.0,0.0,0.0,0.0,0.0,-3160708660.0,0.0
1356,1356,5099,2021-12-14,vɪcᴛoʀɪᴀ,vɪcᴛoʀɪᴀ,40541417,RR38,41281117.0,13444251,165865680,1316713,185338,324598,6841877,4775725,0,28375,3202662,165865680.0,7030230.0,0.0,0.0,0.0,214923.0,244050.0,-2299833039.0,24945.0
1393,1393,5770,2021-12-29,PirateカEitschiカ,PirateカEitschiカ,42028782,Rt38,39130363.0,22082169,243346914,1062072,1221642,885809,14110494,4802152,0,30356,4068132,243346914.0,31661901.0,2787.0,2666.0,743.0,483852.0,1340726.0,-3311652635.0,696405.0
1396,1396,2032,2021-12-02,AndrewB2017,AndrewB2017,4209884,Rv38,30860792.0,1810793,26281109,21038,10978,56054,842373,880350,0,13240,1811319,26281109.0,0.0,0.0,0.0,0.0,0.0,0.0,-7494012108.0,0.0
1412,1412,2314,2021-12-02,King Røar,King Roar,42659448,RX38,32299388.0,8497486,39244891,5380167,50289,53785,2241176,772069,0,22185,1089218,39244891.0,0.0,0.0,0.0,0.0,0.0,0.0,-5032093478.0,0.0
