,Unnamed: 0,Unnamed: 0.1,Date,Name,ASCII Name,Governor ID,Alliance,Power,Total Kills,Kill Points,T1 Kills,T2 Kills,T3 Kills,T4 Kills,T5 Kills,RSS Assistance,Alliance Helps,Dead Troops,KP By Kills
1699,1699,3919,2021-12-09,ᵛⁿMr Crab,ᵛⁿMr Crab,52130105,RP38,59087600.0,58503963,494226913,11236767,3368507,3023019,34436293,6439377,0,53770,6078900,494226913.0
1708,1708,4990,2021-12-14,VARTOLÒ,VARTOLO,52375803,RR38,58683139.0,9880738,570903681,51338,627561,27333,9174506,0,3197125196,64412,4643546,93119781.0
1736,1736,2605,2021-12-02,Sir Rockzo,Sir Rockzo,52619890,RA38,85299113.0,48788913,-1781608984,2303262,3034252,599959,42851440,0,4412263706,129512,7399347,437443392.0
1738,1738,4865,2021-12-14,Sir Rockzo,Sir Rockzo,52619890,RR38,84212083.0,231692129,-1735411464,12311732,13038120,9603199,144217711,52521367,0,131201,7574855,2559555832.0
1768,1768,4486,2021-12-14,HatredCopter,HatredCopter,53410809,KotF,28401221.0,325063,4549430,7530,5554,6309,160182,145488,0,0,0,4549430.0
1944,1944,2388,2021-12-02,MBDB,MBDB,55587705,RX38,32313611.0,0,81358046,0,0,0,0,0,539319699,31048,3515122,0.0
2039,2039,3898,2021-12-09,ᴵᴺ Ahok OG,lᴺ Ahok OG,56911574,RK38,34312521.0,10015672,82937127,2228948,279615,338787,6278948,889374,0,0,0,82937127.0
2044,2044,2371,2021-12-02,M3llow Abdi1838,M3llow Abdi1838,57008215,Ri38,27641189.0,6873796,48393344,1096020,761069,1433203,3075089,508415,0,10141,1541131,48393344.0
2103,2103,135,2021-11-22,Carnitas955,Carnitas955,57893941,RE38,25382259.0,454123,1454174,154592,163200,44409,91922,0,1415945809,3766,100537,1454174.0
2104,2104,2113,2021-12-02,Carnitas955,Carnitas955,57893941,RE38,25955235.0,454123,1454174,154592,163200,44409,91922,0,1415945809,3796,100537,1454174.0
2105,2105,3119,2021-12-09,Carnitas955,Carnitas955,57893941,RC38,26250943.0,454123,1454174,154592,163200,44409,91922,0,2200664485,3853,100537,1454174.0
2106,2106,4356,2021-12-14,Carnitas955,Carnitas955,57893941,RC38,26332543.0,454123,1454174,154592,163200,44409,91922,0,2200664485,3868,100537,1454174.0
2107,2107,5359,2021-12-29,Carnitas955,Carnitas955,57893941,RC38,26579843.0,454123,1454174,154592,163200,44409,91922,0,2450664485,3948,100537,1454174.0
2108,2108,1117,2022-01-01,Carnitas955,Carnitas955,57893941,RC38,26607043.0,454125,1454174,154594,163200,44409,91922,0,2450664485,3955,100537,1454174.0
2185,2185,4332,2021-12-14,BubblesLvs2Farm,BubblesLvs2Farm,58698652,[{Hp38]Humble plebeians,41815199.0,15156585,149420372,2273572,501604,986700,8387853,3006856,4656165628,22858,0,149420372.0
2197,2197,4293,2021-12-14,Baby yakoô,Baby yakoo,58815176,OGFa,27258648.0,2275125,8201762,1332723,466233,72793,135594,267782,0,7674,571171,8201762.0
2198,2198,5294,2021-12-29,Baby yakoô,Baby yakoo,58815176,OGFa,27580171.0,2275125,8201762,1332723,466233,72793,135594,267782,0,7702,571171,8201762.0
2200,2200,275,2021-11-22,HEathens,HEathens,58839227,Rg38,24375497.0,1314774,2405688,450053,740371,68094,56256,0,202858584,11093,75182,2405688.0
2201,2201,4477,2021-12-14,HEathens,HEathens,58839227,Rg38,25269373.0,1343417,2692118,450053,740371,68094,84899,0,216138584,0,75182,2692118.0
2202,2202,5485,2021-12-29,HEathens,HEathens,58839227,Rg38,25677463.0,1343417,2692118,450053,740371,68094,84899,0,216138584,11417,75182,2692118.0
2203,2203,1246,2022-01-01,HEathens,HEathens,58839227,Rg38,25757283.0,1343417,2692118,450053,740371,68094,84899,0,216138584,11427,75182,2692118.0
2220,2220,4365,2021-12-14,Chrollо,Chrollо,58996561,RR38,87692166.0,4614401,1101599127,349089,385050,600695,3279567,0,0,0,0,36038367.0
2360,2360,4886,2021-12-14,Slayer X Jixco,Slayer X Jixco,60304697,RX38,33926724.0,0,16880703,0,0,0,0,0,603906906,33140,1662881,0.0
2412,2412,2239,2021-12-02,Guan Chau OG,Guan Chau OG,61178797,RK38,37631498.0,10176179,91603305,1176519,284016,213885,8009075,492684,0,24311,1542474,91603305.0
2486,2486,4577,2021-12-14,Lazy Luffy,Lazy Luffy,61950882,RA38,67354281.0,5060811,749693337,930026,75511,422855,3632419,0,0,48552,7766060,38352637.0
2606,2606,3561,2021-12-09,RhonyIsFîshy,RhonyIsFishy,62660905,RR38,63933348.0,37031404,305532824,4317314,4067456,3743780,21649775,3253079,0,60247,4280950,305532824.0
2650,2650,6126,2021-12-29,مصعب المهاجر,مصعب المهاجر,62770125,RP38,38425634.0,1083344,59807860,84324,66523,328040,604457,0,851213543,14646,1959216,7506640.0
2662,2662,5568,2021-12-29,Kvitravn Q,Kvitravn Q,62903562,RC38,34771390.0,896239,8819876,180434,94434,39263,320429,261679,0,903,3034732,8819876.0
2667,2667,4594,2021-12-14,Lego Batman,Lego Batman,62935309,RP38,70842249.0,5080695,435654909,619745,25478,549346,3886126,0,2027582938,88889,4338210,41233549.0
2679,2679,4580,2021-12-14,Lazy ﾒ Blue,Lazy ﾒ Blue,62946708,RR38,65093420.0,50797746,684525734,1408992,661763,644610,28130565,19951816,0,0,0,684525734.0
2825,2825,4490,2021-12-14,Himurã,Himura,63598668,RA38,93279138.0,146111550,1749593400,17336421,2967930,2420824,73722054,49664321,883746430,2043,0,1749593400.0
2872,2872,3855,2021-12-09,toops405,toops405,63733625,RK38,51307414.0,10369651,88402286,1779294,1712006,301309,4812366,1764676,0,41669,2104412,88402286.0
2879,2879,4839,2021-12-14,SabdopaloN Jr,SabdopaloN Jr,63736667,P]RE,29234922.0,11001172,50870911,3704927,1681967,1817378,3644152,152748,0,46088,1475114,50870911.0
2897,2897,4346,2021-12-14,CISILIA,CISILIA,63774991,RA38,91650813.0,88624604,957580957,9694827,5056661,4202330,46469637,23201149,0,123885,0,957580957.0
2898,2898,5348,2021-12-29,CISILIA,CISILIA,63774991,Rt38,79504815.0,96425168,1072814125,9820377,5228349,4343848,49763392,27269202,0,127528,8701105,1072814125.0
2957,2957,4245,2021-12-14,A7X fold,A7X fold,63900101,RA38,46937237.0,6265490,60999057,38965,295401,443573,5112485,375066,0,0,0,60999057.0
3028,3028,3740,2021-12-09,TwoFacedMoxina,TwoFacedMoxina,64115009,RA38,81211545.0,275321156,-1536016411,38919036,14011794,17701580,144143775,60544971,0,88075,8164542,2758950885.0
3094,3094,392,2021-11-22,Lil Flamma,Lil Flamma,64576781,[{Hp38]Humble plebeians,34348019.0,11444,91399,2595,0,0,8610,239,5216890125,4400,0,91399.0
3095,3095,2353,2021-12-02,Lil Flamma,Lil Flamma,64576781,Hp38,34348019.0,11444,91399,2595,0,0,8610,239,0,4421,0,91399.0
3096,3096,3360,2021-12-09,Lil Flamma,Lil Flamma,64576781,Hp38,34348019.0,11444,91399,2595,0,0,8610,239,0,4442,0,91399.0
3097,3097,4600,2021-12-14,Lil Flamma,Lil Flamma,64576781,Hp38,34351519.0,11444,91399,2595,0,0,8610,239,5828120424,4463,0,91399.0
3098,3098,5608,2021-12-29,Lil Flamma,Lil Flamma,64576781,[{Hp38]Humble plebeians,34357019.0,11444,91399,2595,0,0,8610,239,6210862188,4519,0,91399.0
3099,3099,1371,2022-01-01,Lil Flamma,Lil Flamma,64576781,Hp38,34723705.0,11444,91399,2595,0,0,8610,239,6210862188,4526,0,91399.0
