Name,Governor ID,Alliance,Power
Dᵘcᵏ Marley,21464078,RK38,73993186.0
SirKage,21464563,RR38,56280639.0
么LFA TR,21494429,Ri38,44242925.0
TheRealMimi,217385,RA38,160696301.0
St0ned Panda420,21998284,RR38,66888814.0
ᴬbe happy bro,22020212,RX38,35660426.0
BoosShakeShack,22274656,[{Hp38]Humble plebeians,25853697.0
CAP 117,22505871,RA38,113264336.0
LAAMO,22634309,Rw38,20577204.0
Executioner V3,22926716,Hp38,35052965.0
Nimora V,22967631,Rt38,28826791.0
VEGASS X,23025917,RR38,91377116.0
Byxoy Batya,23038649,RX38,41072585.0
DaBanker jr,23041197,RA38,45288574.0
GremlinQUEEN,23205212,Rt38,39588791.0
Alungga,23896432,RP38,63164326.0
00Percentage00,23947755,Rw38,32177200.0
MrPopeNuts,24577697,RR38,74120499.0
Ranger 61,24899358,Hp38,34214367.0
真心 ąđy,25182362,RP38,54930577.0
schys,25459192,[{Hp38]Humble plebeians,25104767.0
Syaorân Li,25531562,RR38,87322526.0
artemɪsɪa,25534380,RR38,67360652.0
UKnowWho,25538500,Rw38,6345505.0
Îrïs,25782702,Hp38,45093758.0
Amaiaz,25866777,Hp38,38279392.0
Oreana,25947549,Hp38,25468274.0
A Coffee God,26164401,Rt38,14590423.0
义Babyy义,26254887,RP38,70032175.0
Twiceborn two,26291665,RA38,78516484.0
M3llow Queen x,26877031,Ri38,68666601.0
M3llow KiNg x,27082807,Ri38,64503043.0
BokutoTW,27364120,F38b,30224820.0
Momma Chode,2743724,RR38,98397389.0
Jon Snow KN,27730064,roah,26529464.0
Hopesyy,27737243,RK38,67542150.0
Hoolee fm,27794057,RB38,25692298.0
M3llow QUeen,27831676,Rg38,24522225.0
Deadly Arrow,27930287,KotF,25925401.0
xNJx,2796071,RR38,83302565.0
TabZkie,27960822,RA38,72185139.0
Low Fi Daver,28491704,RM38,33406417.0
父 Crystal 父,28618527,RK38,78434717.0
Ru Gaming,28653501,RK38,30209507.0
1LimitBreakr,28759255,RK38,75332769.0
BloodhounderSpy,29028720,RX38,33704632.0
DN0,29115500,Rw38,27945271.0
viddik,29137686,Ri38,41567874.0
AlfatherKrawaTR,29216170,RX38,39445103.0
くˢᶜᵃʳʸ,29489887,RR38,62912551.0
HAYzOM,29587991,RK38,60636478.0
Alim aqay,29801029,Rt38,28961345.0
GlockDobby,30199415,RP38,73842674.0
MarvNNN 46,30236269,RA38,82212641.0
Big Daddy BaBa,30316476,RX38,37126354.0
Jœÿ,30421620,RR38,72055632.0
Crystål,30844064,Hp38,35004043.0
ASAP Flacko,30895403,LF38,26041340.0
Mve,3094944,RK38,55548960.0
iKingRagnar,31074420,RX38,35069733.0
ASTARTEA I,31137582,RE38,25122563.0
SALLOUM44,31352114,RP38,46720983.0
实意ʚevyɞ,31895462,RP38,71310140.0
lunav,32601257,RA38,60806011.0
乄 Gembel 乄,33305369,RK38,68737759.0
Fallin000,33726432,RA38,81581961.0
Tesssssss,33738298,RP38,52971299.0
暗丶BRAYAN亗,33738318,RR38,73488944.0
連Lin15,33752045,RA38,55759428.0
Nebu l,33851182,RR38,74830156.0
bigstone,33876264,RA38,78883518.0
Mashmattatoe,33910779,RP38,75911754.0
TheMachine2211,34054731,RP38,72380828.0
Mini HYDRA,34330811,RB38,36307277.0
ヅIsmail 义,34358347,Ri38,47518568.0
YONUS,34359083,Ri38,37158883.0
Beast Doc,34382164,RR38,90140439.0
Bitcorn,34497254,Rw38,26149945.0
FLOPO,34601789,#N/A,40068899.0
Funtôme Sakura,34869648,RR38,44958529.0
PR㋛LETAR,35224446,Rt38,46721566.0
LeugimPT2,35309022,Rt38,40650007.0
Läzzy,3534140,DK38,108323847.0
Tests fckup,35511600,F38L,25440824.0
ĴØЌÉŔR,35538798,RA38,61692287.0
iKingRagnarr,35820841,#N/A,26104396.0
BDGㅊHR Habib,36145615,RR38,69300877.0
乂 HAXOR 乂,36397118,RR38,58414098.0
ナハト ファウスト,36594863,Rw38,29908544.0
jedifarm,36769449,RE38,26822728.0
Yavuz EVIL,37112672,RA38,52389784.0
diR,37239310,RR38,78515145.0
亗 FJ zi 亗,37421375,RX38,38099222.0
ToTA966,37447605,#N/A,24790345.0
Boemen,37461942,Ri38,40024289.0
Holdimonster,3747243,RP38,99176703.0
Dave D,37726163,RA38,47702333.0
IrоnGiant,37732597,RK38,75070988.0
۞Lissa۞,37756270,RA38,60846251.0
Fallin002,37763148,F38N,24648158.0
Đumoƞt,37765024,RA38,57970242.0
Sapper88,37773820,RA38,56289232.0
Amen0sa,38132570,RR38,82162236.0
Shanewarwolf,38232075,DK38,191592099.0
ackerman тит,38390141,Rt38,44595797.0
Red Devilsss,38672458,Rw38,27982328.0
Katara0304,38821571,Ri38,32169162.0
Pro RoK,38895906,RX38,42010685.0
MOTOROLА,38980106,RP38,62657661.0
サイタマ one punch,38997259,RX38,40021341.0
ItsAki IV,3909496,F38e,26121112.0
DarthB殺無赦,39190271,RK38,63895821.0
乂 HYDRA 乂,39250773,RP38,70951206.0
CIMO,39412545,RA38,59361719.0
Beast Eicosoco,39418334,RP38,58186436.0
tookax,39494780,F38S,26239873.0
FHK HellAngel,39637709,RP38,62437098.0
Fallin0001,39666473,F38N,37517826.0
LyoKo,39673397,RR38,75360953.0
ʇuɐɥɔɹǝW,39693303,RP38,61008762.0
乂WarRioR乂,39750664,RC38,24699526.0
Nebu ll,39751049,Rt38,34862777.0
ALMIGHTY BLACK,39756277,RP38,86344164.0
MadPharoh,39759597,RR38,92982610.0
kokoroo OG,39976329,Ri38,42718898.0
SoujiroLEE,4,RN38,31166323.0
PintossauroRex,40299040,RP38,64894417.0
亗BLS EVIL亗,40412748,RA38,74469671.0
Lazzys beefstew,40419140,F38n,45088000.0
Habib123ka4,40448251,Rw38,22737576.0
vɪcᴛoʀɪᴀ,40541417,RR38,40841917.0
axiaKing ツ OG,40823396,RK38,50087530.0
Dårth Invader,41086563,RR38,77535028.0
R U M A 云,41779923,RR38,65478828.0
TheTrueFarmer,41855461,F38!,39873820.0
n y a,41925878,RK38,45835951.0
カEitschiカ,42028782,Rt38,40385311.0
AndrewB2017,4209884,Rv38,30383929.0
RodCopperbottom,42331212,RN38,24313286.0
Fiona SMASH,42467519,RA38,78412902.0
King Røar,42659448,RX38,31997074.0
恒纪元之星,42882386,RH38,37533764.0
zeusS09,42989323,roah,24927180.0
slanter,43110892,RA38,76041110.0
SEMRUK,43133759,RX38,45657499.0
PICCO,43307988,RK38,56616727.0
oeschapa,43366078,RX38,37580534.0
Omniscient いち,43782411,RR38,58562871.0
LORDOFDRAGONS,43893200,OGFa,37442898.0
Fiona BASH,44071135,[{Hp38]Humble plebeians,32062945.0
not ryn,4445859,RX38,34217731.0
Wings of Rainy,44460685,RA38,55047158.0
COBIN,44665294,Rw38,37905422.0
SAYUR KÖL,44986862,Ri38,31104453.0
M3llow Shawarma,45187068,Ri38,25603519.0
NOBÎTA,45486740,RX38,42849087.0
Ring shoes care,45764094,RR38,63771296.0
SlanterFarm,45778024,RE38,24820387.0
ᵂᴬMOSTAFA,46131252,RX38,42377792.0
Khaled Ben Wali,46217069,Ri38,36247801.0
Royal Gazza,46678919,RP38,77431792.0
Yakoo OG,46972060,RR38,71098815.0
PintossauroRex2,47030081,#N/A,29994417.0
C h i K a,47257003,Ri38,57943877.0
Valkiara,47351877,RP38,75460680.0
Candyrain,48281776,RK38,69561893.0
BigBlkClock,48439949,]t38,26593975.0
MV KAOZ,48452348,Ri38,38852994.0
Pat king ll,48649473,F38!,27268891.0
DripBank7,48675758,Rw38,24692287.0
ɢɢ Candyrain,49137996,Rv38,24666703.0
KvotheSS,49174922,Rw38,47759566.0
Hoa Queen,49219204,Rw38,36673350.0
H O P E L E S S,49691603,Ri38,29585618.0
Suga 旬,49911535,RA38,74407251.0
황신원 of Rose,49964501,RO3E,37593570.0
Dantss个,50114134,RR38,71671283.0
Slayer X Stag,50379414,RX38,36590846.0
Blue 义 Balls,50653451,RA38,77202445.0
Greysummer,50846273,Ri38,23875173.0
NotSpicyMikee,5091253,Rg38,32323776.0
Chinese299,51061315,RA38,68747342.0
AMNA CASB,51213820,Ri38,38374900.0
Fakiu BB,51276356,Rw38,26747459.0
Corhejlo,5128347,Hp38,39991663.0
HASAN TIR0,51304605,RA38,58096637.0
QuicheeeX,51380796,RK38,50798351.0
Anarchy lord,51415089,RC38,42067100.0
TimeWizard x,51632421,RA38,70839201.0
ᴿᵒʸᵃᴵK,51651109,RA38,73614878.0
Persian King 87,51796131,Ri38,26624703.0
ᵛⁿMr Crab,52130105,RP38,56140600.0
JamesVeryT,52148124,#N/A,35437821.0
VARTOLÒ,52375803,RR38,58353759.0
AssAssin A,52419470,RA38,66921805.0
1P FOX,52435883,RK38,46938230.0
DARK EVIL 亗,52515492,RK38,58348057.0
Test Knight,52618268,RA38,77821338.0
Sir Rockzo,52619890,RA38,80114223.0
Sgt Muerte,52663991,RP38,86714874.0
Zea OG,52710496,RK38,42392791.0
Oxiurus Maximus,53317858,RA38,77081344.0
Memorize 150421,53399282,Ri38,29808543.0
HatredCopter,53410809,KotF,27096769.0
Qitiandsheng永,53459290,RR38,74034082.0
Ahmad 81,53474171,RA38,61609173.0
Daduck,53562053,RA38,83540434.0
パンダPandà,53565432,RA38,66804669.0
High Mage Cowl,53572619,RA38,73398189.0
Fàtty,53573536,RA38,65405660.0
TF26 OG,53639563,RP38,57220020.0
ZR Hüntęr,53653040,KotF,37052388.0
Danrif 冬,53702653,RA38,55353384.0
SinnerPridE,53720198,RA38,71913533.0
Barbosah,53734445,RA38,78606358.0
ᵀᴴᴱWIZARD,53803289,Rt38,40146395.0
GXarwana,53938211,RX38,43087558.0
Rack7,54128420,RA38,44235356.0
SoujiroLEE,54234687,RN38,31328035.0
fluorin4ek,54378153,RP38,61751478.0
Pand4Zinc 永,54530345,RA38,62878686.0
メFeldjager,54912695,RP38,69096289.0
Marcusᴳᴺᴳ,54977338,RR38,136854926.0
Haladîr,55086798,RR38,58193320.0
Vieja Tsunade,55094256,RR38,36939705.0
ZR Hüntręss,55127138,KotF,24481075.0
Tsunade     WTF,55133103,#N/A,24440943.0
Miniᴳᴺᴳ,55136170,F38N,40509745.0
4Zinc,55157892,Rw38,18169899.0
NO Rainbow Lexa,55179400,RX38,29425312.0
suppermen  1,55423883,DK38,25541536.0
mini Hoolee,5551404,RB38,34874970.0
goeland27,55565597,Ri38,43809307.0
Equuleus,55567655,Rt38,41094994.0
RunnerD,55584994,KotF,42705222.0
MBDB,55587705,RX38,31269528.0
Lazy lady bep,55784967,RP38,58135681.0
Melo 06,55846661,Rt38,40654483.0
Mr Kaoz,55851284,RP38,60512822.0
NEMOᴹⱽ,55874646,RP38,50818523.0
CAP Farm,55889857,Hp38,24472582.0
LeoBoyy,55986797,Rt38,33462480.0
Seon deok,56084361,RP38,46208669.0
Åmmōnïå,56131025,Rt38,30595679.0
LuffyLikePuffy,56189359,F38s,24312907.0
Wings of Yolo,56223472,RP38,46035019.0
MatYaki,56267611,RX38,46255487.0
Wings of Lib,56316995,RR38,46873938.0
HunterDemons,56345194,RR38,67587429.0
WO SpiderSam,56558968,Rt38,36183925.0
piratepunisher,56567751,Rt38,30965478.0
KaptenKenzo,56668188,Rt38,27853668.0
ᴵᴺ Ahok OG,56911574,Ri38,32905112.0
M3llow Abdi1838,57008215,Ri38,27281752.0
齐天大圣17,57069821,Vdcm,43795755.0
Roi René 49,57087134,Ri38,30187473.0
FlammA,57141256,RA38,79160201.0
ɴooᴅʟᴇ,5716022,RA38,41297249.0
Z theFarmer,57177740,RP38,49295934.0
MmDASHᶤᶺ,57403982,RX38,40731219.0
Goolins,57418518,Rg38,43691553.0
sant9gо,57442278,RA38,62269969.0
Farm Nit,57637301,F38b,27437800.0
Carnitas955,57893941,RE38,25382259.0
ÆTERNALS,57922872,RK38,46498772.0
sinnerpride2,58025104,KotF,27091437.0
Valkilittl,58137034,F38Y,24084935.0
Zenxer,58195110,RK38,44887785.0
ReX ʳᴼᵏ,58216523,RR38,51076139.0
Killplus,58310757,Vdcm,47917193.0
M3llow Choncc,58351719,Rg38,26058808.0
RC STING,58359807,RX38,41552753.0
HotShotTiger,58442808,RR38,81861239.0
SlaveTiger,58443603,F380,27945243.0
ServantTiger,58455235,F380,26811540.0
Bangᴿⱽ,58615587,RK38,41794378.0
Lemon彩虹,58681682,Rw38,25041559.0
BubblesLvs2Farm,58698652,[{Hp38]Humble plebeians,41383339.0
MongD2,58810130,RK38,64316002.0
Zinaidâ,58815176,Rt38,26347122.0
HEathens,58839227,Rg38,24375497.0
VikThōr,58883891,RR38,158181873.0
M3llow Empress,58920386,Ri38,21834568.0
ゼロツー      002,58968368,Rg38,25822415.0
Chrollо,58996561,RR38,85677856.0
ɳɢʋpɪ OG,59010105,RA38,68731697.0
THE BABY,59069826,Rw38,23816056.0
Yura09 OG,59151829,RK38,43430872.0
rank dark ue,59160864,Ri38,26088657.0
DesaSasarean OG,59171934,RP38,68679824.0
Bōt,59324361,RK38,58364219.0
Kingsummer OG,59331015,RA38,70860208.0
ᵈᶦʳᵗʸZA,59373607,Rw38,19286808.0
COMANDANDE,59400106,RK38,70180629.0
Drëkkles,59438289,RK38,58625321.0
Hoolee,5944784,RP38,73075719.0
MikeScofield OG,59692706,RX38,45153630.0
Odysseus シ,59797086,F38i,81571853.0
420 panda,59951634,Rw38,26666831.0
自由ㅅ 自在,59967543,Ri38,42999146.0
Jenny XIX,60059471,Rw38,32772078.0
Rin OG,60134257,RK38,50576029.0
Talivan MX,60141103,RX38,32584291.0
Jackncoke,6017556,RK38,74223265.0
Mighty Ares OG,60222813,RK38,36998000.0
CRI tiểu miu,60244782,Rt38,44754746.0
KinSy,60296881,RK38,62835938.0
CYBele,60297432,Rt38,41382321.0
AhBengKoh,60303728,Rv38,26562371.0
Jixco,60304697,RX38,33299077.0
Harutya OG,60334815,RR38,52496073.0
Bloodrocuted,60665838,KotF,27482072.0
fæ relax 8J,60811314,RR38,43565850.0
miss u wim,60891605,RP38,40031764.0
Sirvano,60954941,RP38,62203376.0
EDD XXXVII,61069638,Rt38,40403197.0
Baio nishizawa,61086085,Rt38,35351778.0
义ShAdEnO5义,61109803,RC38,36857650.0
Guan Chau OG,61178797,RK38,37173981.0
Whiteᵗᵉᵃ,61460506,Rw38,31972198.0
M3llow Plydz,61498739,Ri38,40364647.0
Oddᵗᵘᵍᵃ,61647508,Rt38,32812636.0
MSTTNCC,61827973,RC38,24624845.0
RV EMONᴮᴰ,61834122,RA38,48872390.0
Kiĺĺer wolf,61838834,RX38,44612353.0
DĒMŒN,61847388,RR38,64377713.0
Saddam68,61901644,RX38,23935667.0
CRAZY HAPIT,61918448,RR38,56420743.0
Arif Rh01,61924943,Ri38,33743724.0
XNXX IND jowo,61932165,Ri38,46361494.0
Lazy Phoenician,61944693,RR38,60560380.0
Lazy Luffy,61950882,RA38,67980170.0
Lazy Dark,61954227,RK38,42939306.0
FDantss,61983631,Rj38,31615838.0
尺V AsiF,62017843,RK38,42283760.0
SHAFINᴿⱽ,62017877,RK38,37790904.0
FaustPicaro,62074305,RK38,46919035.0
Kоlуan,62080073,RK38,67182874.0
Fluff n Fatale,62104788,RA38,55399735.0
DRIFTERS187,62166694,RP38,43903399.0
ChongChong84,62189019,RK38,50343013.0
NEMOˢᵃᵈ,62241563,RX38,41879089.0
么 Explech 么,62289360,RR38,62161545.0
LESHiy,62323092,RA38,69033432.0
HarukoHanada,62326004,RA38,56507891.0
Lazy Nanaメ,62351996,Rt38,30195216.0
Chuck乂Norris,62399044,RK38,60369465.0
19Alim93,62399898,RR38,71995282.0
自由ㅅ 小怪,62458819,#N/A,24660511.0
Mr Almada,62548492,RC38,30252787.0
BassPirateRed,62608636,RK38,52004091.0
Drúnken Arina,62608777,DK38,64375392.0
Fîshh,62660905,RR38,58145054.0
キトKITOKIちゃんOG,62679050,RR38,41568273.0
Callysta34,62687626,RX38,41100411.0
Pat kingllll,62720594,RK38,54086459.0
A T L Ã S,62739007,RR38,85779533.0
BDGㅊHridxᴿⱽ,62756828,RK38,40464484.0
Aquilasia,62763532,Rt38,41242102.0
معصب المهاجرB,62770125,RX38,35461509.0
Capn Toph,62853017,RK38,50711411.0
QueenKarlet,62903562,RC38,33328103.0
Lego Batman,62935309,RP38,68590548.0
SonicSuren,62942972,RR38,80781789.0
Lazy ﾒ Blue,62946708,RR38,66663732.0
Bani Ali,62988416,Rt38,26352297.0
Lazy Lýnx,63013160,RR38,57081918.0
shadow 0805,63080564,RA38,53479242.0
모조 Mojo M,63082694,#N/A,38387880.0
Lýnx Farm Boss,63115280,F38s,37383683.0
FirestormV,63119959,RR38,89788301.0
EmhiLy,63122485,RK38,50935814.0
Konstantinos Ma,63179189,RA38,57948253.0
ᶦᶰᵈカラス,63286295,RX38,39855764.0
乂JØN GØD乂,63354285,RX38,31520583.0
AdjieDoanks,63375965,Rw38,28645866.0
Jenderal Semut,63389548,#N/A,34991657.0
Lazy DUST,63453000,RR38,55452885.0
lady talia,63469420,RR38,38774685.0
Zapp Hunter,63478483,Rt38,36233217.0
Nīght Kīng,63480706,RK38,54771481.0
Tante Jin,63495915,Rt38,34715982.0
oDVHo F3,63498244,vk38,33752389.0
Blackshadow26,63559810,RK38,41608360.0
B AL AZS,63572648,Rt38,41074681.0
LITTLE Jon,63573884,RK38,55913820.0
Bye Tuga,63575767,RK38,49531097.0
Licht Red Baron,63579047,F38s,25578671.0
Portelá,63595204,RA38,48598304.0
Himurã,63598668,RA38,94542108.0
Dwardo1,63601569,RX38,44751803.0
Drunken Cali,63615619,RK38,61139353.0
ÃquaBöťòĺ,63622109,Rw38,23363090.0
XyouX,63627672,Ri38,43381199.0
RichCheese,63636671,Rt38,35341619.0
bArBaBiAnCa,63686087,RX38,41264770.0
TinyTifa2,63706408,KotF,24936452.0
Guam81,63720400,RK38,48734712.0
toops405,63733625,RK38,47615790.0
SabdopaloN Jr,63736667,PB38,29205822.0
ᴿᴬ Chalder,63737713,RA38,61145927.0
Warlord Ragnär,63751320,RK38,49889595.0
CISILIA,63774991,RA38,89626799.0
BaxeN,63790695,RX38,44380064.0
M3llowMabrock x,63811771,Ri38,62736274.0
AngelOfImpurity,63858590,RK38,48413642.0
Nemesis523,63860398,RK38,54778087.0
Hhh2,63871718,RA38,42954568.0
Nail1ÿ,63886129,RA38,47304784.0
Ringo X,63894724,RA38,59599294.0
ABØ AŁ HASSAN,63896422,RA38,47038211.0
SonStrike,63897345,RA38,45812331.0
A7X fold,63900101,RA38,42098033.0
GroundZilla,63918303,Ri38,37346648.0
OSkadon OG,63921213,RP38,56158951.0
mantovinii,63932677,RA38,75351928.0
R4j44,63951987,RA38,42982810.0
Flexÿ,63955350,RA38,79584250.0
Radnaxi,63968661,RA38,82427117.0
ChongChong Dono,64016617,F38n,25998386.0
Shadowofnite,64023189,RX38,68030333.0
tailor p,64044209,RA38,89574707.0
kentru,64059118,RX38,26421199.0
zaidoun,64085623,#N/A,39092395.0
TwoFacedMox,64115009,RA38,78855608.0
Dia X YB,64177151,RR38,81212923.0
RED SnappER,64237899,RA38,78682590.0
Kopi no sugar,64306210,RA38,65240851.0
RichKupo,64309507,RA38,77747119.0
Lýnx Boss Farm,64319584,F38s,31944389.0
Not RK,6432716,RX38,31697434.0
Lovebooty,64357899,MB00,24687188.0
Shepinski,6438579,Hp38,27025916.0
Cooper  X,64394420,RA38,56960408.0
balazs vilmos,64520739,Rt38,26578992.0
BDGㅊALVINᴿⱽ,64525422,RR38,54424618.0
Lil Flamma,64576781,[{Hp38]Humble plebeians,34348019.0
Mini MongD,64873354,F380,28779798.0
Alischer,6488711,RA38,67865478.0
ARGOBEL,64905605,RX38,40693195.0
Hello Babyy,65004476,RN38,24766935.0
YourLapu2xYard,65094873,Rw38,32302774.0
ᵛᵛBlablaa,65107216,Rj38,31865044.0
ɢɢ Sauerkraut,65163560,#N/A,24307826.0
safred,65429385,RX38,45220478.0
Battle BEAST,65484538,RR38,58790186.0
Liusen,65527076,RR38,58014142.0
SubstituteMox,65548507,F38!,25165022.0
Seed420,65750039,RP38,46505957.0
ᶜCỏ  3 Lá,65767675,Rt38,37584622.0
ASHIMO LION,65877360,Rt38,45240881.0
EVillord,65935461,RX38,35066178.0
RichCupcake,66006431,F38i,34910523.0
Tim Tuga,66055533,Rt38,29082772.0
NjörD Farm,66144116,Rv38,35290640.0
Night Färm,66190912,Rv38,26791023.0
A죽음,66226973,Rt38,35608239.0
Jeg forstar ikk,66238127,Ri38,25703004.0
Lady Leee,66284657,Rt38,33873255.0
Mᴀᴛsᴜʀɪ,66337482,#N/A,28049729.0
Sumitomo SH210,66337757,Rt38,35022590.0
NEBs,66371997,RA38,85474789.0
f㋛res,66374084,Rt38,30734884.0
Eriegums,66408786,Rw38,35847951.0
Guan Chau 2,66424168,Rw38,27793716.0
义Sala义,66466622,RK38,50569956.0
Castratikon,66504517,KotF,26054023.0
LaserCannondeth,66506925,KotF,25588466.0
Noka AXL,66715811,F38i,26629719.0
ツĀV㋛ŤĀŔ,66765325,RP38,34175343.0
Gunarboy,66802116,RX38,35225232.0
SmileMorning,66817290,RR38,36019581.0
Prëtty,66903398,Rw38,36353435.0
bioruben,67058811,RP38,58645401.0
亗㋡PirateSTEVE,67069422,Rt38,19954632.0
Bamboo ALL,67074469,Rt38,46630179.0
Novalk ALL,67116818,RK38,48251222.0
ˢᵗᵐ R4J44,67130734,Rt38,36198360.0
jmcdo4,67133364,Rt38,45818249.0
38 l Anasboi,67137328,RK38,54628459.0
Sol InvictuS,67145172,RK38,54985631.0
JealousSs,67147404,RR38,42172968.0
C㋛㋛per,67174967,RR38,44788363.0
KinG 2020,67180833,Rt38,40070930.0
义Galatian义,67184899,RK38,49981139.0
IrenêAdler,67195299,Rt38,46375215.0
Jäzzmine,67202956,RA38,50252628.0
WIN CôngĐạt,67246450,RA38,57641548.0
M WARSONGᴿᴬ,67465056,#N/A,34647984.0
JOSE2,67548799,Rw38,32910133.0
tiråmisü,67609112,Rw38,31451995.0
Tôn Vủ,67663968,Rw38,35300677.0
义 daeny 义,67704983,RN38,25062902.0
Erwinlim,67980415,RK38,40284717.0
Bubuhan Paculer,67999885,RP38,45588349.0
尤吉歐Eugéo,68007996,F38N,37117449.0
BlēstFoodz,68019444,RB38,25877425.0
乂 Zora 乂,68138742,Rw38,13661396.0
Mr BigTbn,68350663,RP38,26873028.0
ᴰᴳ TheWall,683664,RR38,73740936.0
Aoi  Sora,68399761,#N/A,38075054.0
DHAFIR OG,68543872,RK38,49516542.0
RickyAF,68599021,RR38,43174364.0
PREDATOŔ,68605432,RK38,48100244.0
G҉a҉r҉i҉p҉,68627238,RX38,41153229.0
Rédllíóñ OH,68635481,RP38,29230347.0
nguyennopro,68694772,RP38,38955818.0
