,Governor ID,Name,Ranking,Power,PreKVK Power,KVK Contrib,Scaler_Down,Scaled Score
232,59324361,Bōt,121,58933453.0,58364219.0,18507477.0,,18507477.0
13,17736708,GangstaMaruDGAF,122,90160283.0,99966663.0,18488561.0,,18488561.0
313,63595204,Portelá,129,48805823.0,48598304.0,18124532.0,1.013687819655389,18372617.325354327
51,63968661,Radnaxi,123,73546402.0,82427117.0,18319861.0,,18319861.0
103,7681587,AndrewB2000,124,88034270.0,74859832.0,18214471.004,,18214471.004
415,46131252,SlayerX MUSTAFA,155,39077003.0,42377792.0,16353306.0,1.1133952098891937,18207692.56625221
126,19004552,I BlackHeart I,125,70008571.0,72620042.0,18189547.0,,18189547.0
53,30236269,MarvNNN591,127,77070563.0,82212641.0,18176783.0,,18176783.0
220,61944693,Fist me Daddy,128,59584570.0,60560380.0,18144071.032,,18144071.032
46,6960423,Mmarsh,130,74766807.0,83696914.0,18040748.0,,18040748.0
133,10806254,BEP 1,131,68640176.0,71916626.0,17994677.0,,17994677.0
303,75144155,Izzy 永,134,49428777.0,49658235.0,17704853.0,,17704853.0
29,64044209,tailor p,135,85965001.0,89574707.0,17683938.0,,17683938.0
151,11740217,BigTruck,136,80298227.0,68963854.0,17617734.8,,17617734.8
386,76373142,Rules OG,150,45836026.0,43956121.0,16661440.0,1.0556065521301092,17587925.231922686
186,58810130,MongD2,138,65003596.0,64316002.0,17429929.0,,17429929.0
102,17854556,JOLAN,139,76343230.0,75002508.0,17314788.0,,17314788.0
27,63119959,FirestormV,140,92278414.0,89788301.0,17266581.0,,17266581.0
148,36145615,BDGㅊHR Habib,141,97147352.0,69300877.0,17117492.0,,17117492.0
300,76034575,Léxyy,142,51634384.0,50074239.0,17081012.796,,17081012.796
426,84507550,Wenskiee,177,35917842.0,41741917.0,14869555.0,1.1447917503332494,17022543.89512652
105,33851182,Nebu I,143,72371511.0,74830156.0,16954841.0,,16954841.0
1,16710828,xBigWoodx,144,161209792.0,165491992.0,16939852.0,,16939852.0
159,26877031,M3llow Queen x,146,61143659.0,68666601.0,16821741.0,,16821741.0
770,95676642,Just Morenth,208,36816621.0,28977886.0,13253166.564000001,1.2692299570059744,16821316.02821874
58,85825206,Cram337,147,75203662.0,81593341.0,16820873.0,,16820873.0
345,56223472,Wings of Yolo,164,43823371.0,46035019.0,15896144.784000002,1.0552012503417192,16773631.851689799
167,6488711,Alischer,148,70703391.0,67865478.0,16737171.0,,16737171.0
228,75084130,ßIank,149,60160831.0,58632559.0,16676511.372000001,,16676511.372000001
352,63897345,SonStrike,166,43576165.0,45812331.0,15688730.0,1.0580930275802491,16600135.824589083
