Date,Name,ASCII Name,Governor ID,Alliance,Power,Total Kills,Kill Points,T1 Kills,T2 Kills,T3 Kills,T4 Kills,T5 Kills,RSS Assistance,Alliance Helps,Dead Troops,,,
2021-11-23,Amen0sa,Amen0sa,38132570,RR38,82162236,"133,241,748","1,718,557,346","2,529,252","5,310,389","3,728,672","74,095,267","47,578,168","2,217,664,876","69,593","8,234,829",1718557346.4,-0.400000095367432,FALSE
2021-11-23,Pooty Slayer,Pooty Slayer,75767119,RR38,81952890,"39,110,367","321,454,033","2,267,008","5,948,343","5,307,429","22,387,751","3,199,836","799,569,124","17,549","2,954,159",321454033.6,-0.600000023841858,FALSE
2021-11-23,HotShotTiger,HotShotTiger,58442808,RR38,81861239,"132,671,339","1,491,498,403","11,216,989","7,775,172","2,334,653","76,252,445","35,092,080","5,551,884,670","89,950","5,636,251",1491498403.8,-0.799999952316284,FALSE
2021-11-23,暗 Toxic Arrow,暗 Toxic Arrow,17413785,RA38,81805009,"169,520,529","2,196,563,444","3,681,481","1,229,533","3,709,853","103,946,457","56,953,205","3,755,654,056","51,534","15,596,740",2196563444.2,-0.199999809265137,FALSE
2021-11-23,Cram337,Cram337,85825206,RA38,81593341,"87,086,942","803,278,977","1,890,748","20,577,233","2,081,773","49,732,449","12,804,739","1,203,148,455","11,323","3,503,727",803278977.6,-0.600000023841858,FALSE
2021-11-23,Fallin000,Fallin000,33726432,RA38,81581961,"122,801,730","1,402,623,127","6,829,458","3,295,340","7,671,169","73,613,338","31,392,425","4,106,417,215","97,437","8,097,786",1402623127.6,-0.599999904632568,FALSE
2021-11-23,Odysseus シ,Odysseus シ,59797086,F38i,81571853,"59,831,411","761,161,783","2,693,466","1,581,074","1,175,598","33,486,691","20,894,582","647,873,271","43,454","2,410,428",761161783.2,-0.200000047683716,FALSE
2021-11-23,Jedi Mätty,Jedi Matty,95676399,RR38,81233888,"82,165,337","830,240,896","2,119,611","4,463,327","5,716,605","59,929,198","9,936,596","1,199,553,445","24,463","2,870,201",830240896.2,-0.200000047683716,FALSE
2021-11-23,Dia X YB,Dia X YB,64177151,RR38,81212923,"98,423,812","1,037,323,963","8,517,656","3,691,547","5,079,187","61,478,785","19,656,637","2,999,974,913","79,243","3,836,140",1037323963.2,-0.200000047683716,FALSE
2021-11-23,Executioner AF,Executioner AF,18373874,RA38,81087915,"218,237,712","2,821,289,513","7,146,118","3,091,684","7,156,678","123,181,443","77,661,789","17,983,406,347","103,856","14,180,322",2821289513.6,-0.599999904632568,FALSE
2021-11-23,RuKh,RuKh,11904157,RR38,80833266,"94,450,219","787,674,599","31,505,177","1,525,450","1,721,906","42,251,868","17,445,818","2,725,428,887","56,762","7,329,551",787674599.4,-0.399999976158142,FALSE
2021-11-23,SonicSuren,SonicSuren,62942972,RR38,80781789,"83,369,817","928,057,278","4,955,104","3,900,246","5,526,229","48,260,391","20,727,847","3,209,700,035","113,180","4,300,000",928057278.8,-0.799999952316284,FALSE
2021-11-23,NEBs,NEBs,66371997,RA38,80706289,"236,758,510","2,965,384,646","3,907,214","3,562,648","6,067,817","153,124,598","70,096,233","4,106,312,249","31,246","10,568,067",2965348646.8,35999.1999998093,Y
2021-11-23,ARISA OG,ARISA OG,8918322,RA38,80218075,"127,854,036","996,116,918","44,801,854","505,692","1,365,411","64,293,806","16,887,273","8,301,245,146","52,110","7,025,886",996116918.8,-0.799999952316284,FALSE
2021-11-23,Sir Rockzo,Sir Rockzo,52619890,RA38,80114223,"228,677,516","2,513,215,452","12,303,262","13,034,252","9,599,959","142,851,440","50,888,603","4,412,263,706","128,967","7,399,347",2513215452.4,-0.400000095367432,FALSE
