,Governor ID,Name,Ranking,Power,KVK Contrib,PS1,PS2
999,96198317,MAMPOS KAU SITU,650,26971332.0,1981627.0,2700961.0435023145,2700961.0435021613
79,53734445,Barbosah,651,80791948.0,1975208.0,22127962.214687325,22127962.21468725
426,58615587,Bangᴿⱽ,652,42872769.0,1973072.0,7275098.5943079665,7275098.59430809
1038,96200352,DJ 143,653,25393760.0,1970399.0,2340478.9445671253,2340478.9445669265
718,90147351,ProfZebu,654,33785062.0,1946657.0,4465028.808007861,4465028.808007863
600,66006431,RichCupcake,655,37236164.0,1943910.0,5475842.382064668,5475842.382064728
331,17502418,PIRATE  BIICHO,656,50640911.0,1935176.0,10010295.389987376,10010295.389987534
424,73670637,Y Amlak K,657,43492364.0,1928852.0,7483117.249868775,7483117.2498689005
300,40823396,axiaKing ツ OG,658,52360124.0,1914136.0,10649203.198841505,10649203.198841661
573,83307848,SlayerˣAdragar,659,36612405.0,1911648.0,5287750.337218284,5287750.337218332
111,10154350,Pochemuchka,660,76393239.0,1908960.0,20310828.043335963,20310828.043335944
535,84652781,ᵛⁿDVHⁿᵛ,661,38192744.0,1894182.0,5768745.797766439,5768745.79776651
1111,96259184,ㅡLIGHTㅡ,662,25145648.0,1886326.0,2285527.5122973123,2285527.5122971055
442,68627238,G҉a҉r҉i҉p҉,663,50740842.0,1884840.0,10047132.905674342,10047132.9056745
566,69665867,Queen jail,664,37008820.0,1856275.4119999998,5407019.586836469,5407019.586836525
858,64520739,PIRATE vilmos,665,27743855.0,1854592.0,2884349.231840353,2884349.23184022
380,38390141,Irélia Rx,666,49537740.0,1851446.0,9606189.854495276,9606189.85449543
927,85779450,oCcr16,667,29634765.0,1845189.624,3351709.574588261,3351709.574588175
735,76153330,slayerxCROSFIRE,668,32369530.0,1829277.0,4072267.0978856594,4072267.0978856348
1018,96241549,Bl4cK Wid0W,669,26261929.0,1802103.0,2536507.17884306,2536507.1788428864
706,55587705,MBDB,670,35814378.0,1747203.0,5050519.49566495,5050519.495664989
1054,84992368,ᴹᴰ Kanako,671,25549047.0,1740426.0,2375115.060614909,2375115.0606147144
612,84863879,Chipi2021,672,38221667.0,1739475.0,5777684.692417108,5777684.692417182
954,87989436,GweC,673,29152789.0,1732680.0,3230130.6894381377,3230130.689438041
624,79837494,ᴾᴿᴼシ F1,674,36558279.0,1714194.936,5271538.447323273,5271538.447323321
849,76603428,ˢᶦ Rippat,675,27621837.0,1706699.0,2855088.1141916513,2855088.1141915154
411,79756107,Heo Bé Ba,676,43914246.0,1695108.0,7625840.724530726,7625840.724530856
383,21494429,eagle tr,677,44239045.0,1687434.0,7736310.292919294,7736310.292919427
867,64059118,Slayer x kentru,678,27401387.0,1671853.0,2802502.1859153747,2802502.185915233
628,83563824,ᴾᵁ Dreams,679,37545088.0,1648740.2959999999,5569850.325390244,5569850.325390306
903,78939625,AgentCarterRN,680,27655871.0,1640700.0,2863238.710714569,2863238.710714434
917,92573671,Slayer Azzahra,681,29308118.0,1637501.0,3269131.3765886254,3269131.376588532
1058,84469048,Giock,682,26696143.0,1631578.0,2636714.4217143785,2636714.421714217
720,75577618,Slayer ˣ The0,683,31181590.0,1621174.0,3752950.7360137743,3752950.736013724
131,27960822,TabZkie,684,73934267.0,1618575.0,19292061.97121366,19292061.971213672
698,95668784,Changé 嫦娥,685,35849589.0,1616608.0,5060905.006055849,5060905.006055887
751,11963714,PIRATE Zebu,686,32382089.0,1584354.0,4075693.6850514733,4075693.6850514477
1047,79935816,BoUnCeR61,687,26987848.0,1582455.0,2704835.0729609905,2704835.072960837
532,49219204,Hoa Queen,688,39302929.0,1546030.0,6115276.156878964,6115276.156879051
704,84934733,Little Jūles,689,33672418.0,1531481.0,4433294.928521038,4433294.928521038
642,79083099,BENORAN,690,36587316.0,1516581.0,5280233.459009522,5280233.45900957
245,47257003,C h i K a,691,62531981.0,1499390.0,14615976.840652816,14615976.840652933
775,22967631,Pirate Bellamy,692,30617359.0,1489104.0,3604659.691056778,3604659.6910567144
529,61109803,AdolfфStalin,693,40182825.0,1460493.0,6394821.293497252,6394821.29349735
518,63115280,Lýnx Farm Boss,694,41891448.0,1451642.0,6949594.334511309,6949594.334511423
618,4445859,not ryn,695,34436603.0,1439705.0,4650177.997095531,4650177.997095544
359,71318742,JustFocusTheKVK,696,47483138.0,1410112.0,8866610.589589,8866610.589589149
901,90920459,Mutaseeem,697,29365498.0,1401587.0,3283582.2722968734,3283582.2722967826
163,16891821,Alotta Fagina,698,71305225.0,1396402.104,18203819.103139173,18203819.103139218
474,60891605,miss u wim,699,44908732.0,1373564.0,7965676.047247876,7965676.047248013
764,71224394,ScReamOuS,700,32176677.0,1373272.0,4019781.5510138613,4019781.551013831
432,29137686,viddik,701,46735928.0,1361228.0,8602067.468643043,8602067.468643188
473,34601789,FLOPO,702,40937735.0,1353647.004,6638020.41481387,6638020.414813974
